koguchi,test@example.jp,商品B,オススメしたい,美味しい
小口,kkkk@test.jp,商品B,どちらでもない,普通
sayaka,test@example.jp,商品A,オススメしたい,良い
田中,yyyy@gmail.com,商品C,オススメしたくない,嫌い
匿名,ex@yahoo.co.jp,商品D,オススメしたい,Good
山口,test@gmail.com,商品A,オススメしたい,美味しい
koguchi,test@example.jp,商品A,オススメしたくない,いまいち
sayaka,hhhh@example.jp,商品E,オススメしたい,好き
匿名,test1@example.jp,商品A,オススメしたくない,無理
bbbbb,testtest@gmail.com,商品B,オススメしたい,素晴らしい
小口,test@example.jp,商品A,オススメしたくない,嫌い
Erika,nnnn@gmail.com,商品E,オススメしたい,！！
山口,www@test.co.jp,商品B,オススメしたい,好き
匿名,ppp@yahoo.co.jp,商品A,オススメしたい,良い
